Field (Oe)	Voltage (V)	Current (A)	Resistance (Ohm)	Real Voltage (mV)
3.9613000E+3	2.4954800E-2	1.9231500E-6	1.0225003E+4	6225.003
3.8863000E+3	2.4955000E-2	1.9231200E-6	1.0225309E+4
3.7284000E+3	2.4955600E-2	1.9222200E-6	1.0231697E+4
3.5675000E+3	2.4956800E-2	1.9218900E-6	1.0234551E+4
3.4033000E+3	2.4956900E-2	1.9210100E-6	1.0240551E+4
3.2393000E+3	2.4959300E-2	1.9207200E-6	1.0243762E+4
3.0716000E+3	2.4958300E-2	1.9192200E-6	1.0253398E+4
2.9022000E+3	2.4957600E-2	1.9186000E-6	1.0257235E+4
2.7317000E+3	2.4957500E-2	1.9168700E-6	1.0268923E+4
2.5597000E+3	2.4957000E-2	1.9154800E-6	1.0278110E+4
2.3878000E+3	2.4955000E-2	1.9128700E-6	1.0294842E+4
2.2109000E+3	2.4958000E-2	1.9109900E-6	1.0309246E+4
2.0359000E+3	2.4954800E-2	1.9065500E-6	1.0337983E+4
1.8599200E+3	2.4954300E-2	1.9019400E-6	1.0369445E+4
1.6806100E+3	2.4952500E-2	1.8915300E-6	1.0440702E+4
1.5031600E+3	2.4955700E-2	1.8780600E-6	1.0537021E+4
1.3213600E+3	2.4953100E-2	1.8564600E-6	1.0690227E+4
1.1421200E+3	2.4955500E-2	1.8328500E-6	1.0864680E+4
9.6037000E+2	2.4954500E-2	1.8049900E-6	1.1074284E+4
8.6865000E+2	2.4955000E-2	1.7919600E-6	1.1175092E+4
7.7730000E+2	2.4954300E-2	1.7763200E-6	1.1297313E+4
6.8796000E+2	2.4953600E-2	1.7621200E-6	1.1410124E+4
5.9654000E+2	2.4953300E-2	1.7453500E-6	1.1546018E+4
5.0533000E+2	2.4957700E-2	1.7300800E-6	1.1674749E+4
4.1392000E+2	2.4955100E-2	1.7116600E-6	1.1828473E+4
3.2276000E+2	2.4952500E-2	1.6936700E-6	1.1981799E+4
2.2960000E+2	2.4953000E-2	1.6736700E-6	1.2158152E+4
1.3866000E+2	2.4954900E-2	1.6523800E-6	1.2351398E+4
9.3202000E+1	2.4955000E-2	1.6404100E-6	1.2461660E+4
4.8391000E+1	2.4954600E-2	1.6292800E-6	1.2565336E+4
3.8186000E+1	2.4955100E-2	1.6261800E-6	1.2594841E+4
2.8968000E+1	2.4955300E-2	1.6243500E-6	1.2612253E+4
1.9989000E+1	2.4956900E-2	1.6224100E-6	1.2631610E+4
1.5834100E+1	2.4953400E-2	1.6202100E-6	1.2650337E+4
1.2096200E+1	2.4954100E-2	1.6195100E-6	1.2657426E+4
8.3836000E+0	2.4954700E-2	1.6194900E-6	1.2657987E+4
4.6411000E+0	2.4954400E-2	1.6182500E-6	1.2669609E+4
9.6097000E-1	2.4954200E-2	1.6183600E-6	1.2668437E+4
-9.4702000E-1	2.4955200E-2	1.6176900E-6	1.2675441E+4
-4.6345000E+0	2.4953300E-2	1.6181700E-6	1.2669691E+4
-8.3329000E+0	2.4953400E-2	1.6180300E-6	1.2671087E+4
-1.2057300E+1	2.4955400E-2	1.6184000E-6	1.2668797E+4
-1.5762000E+1	2.4958400E-2	1.6192700E-6	1.2662365E+4
